,UK_G,DE_F,UK_F,NL_E,DK_B,DE_C,UK_H,NL_D,NL_C,DE_E,DE_D,BE_B,UK_B,UK_C,UK_D,UK_E,DE_A,DK_A,DE_B,NL_B,BE_A,NL_A,NL4,DE2,BE2,DE3,DK1,NL2,NL3,DE1,NO1,UK4,DE4,NL1,UK1,UK2,BE1,UK3,UK_L,UK_K,UK_J,UK_I,UK_O,UK_N,UK_M,NO_D,NO_C,NO_B,NO_A,NL_G,NL_F,DK_C,DE_I,DE_H,DE_G
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3779.8131021418317,4604.429650739887,8249.362923667768,6850.660527773468,1326.5611864047885,4161.665479602537,313.90114533928335,13025.45963836816,1159.1953484104477,14513.132854009293,23923.15731210094,7284.033880589681,2139.622581148801,8240.39180164156,161.6411753606118,3301.111923672398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3770.5986658133525,4556.355330286515,8237.200556538692,6779.133569059585,1326.5977234908803,4151.520162745336,313.1359164671133,12889.462312270072,1157.870843464279,14074.777546700798,23673.37837787538,7266.276847478931,2074.9973259734807,7991.498642811754,161.40286128277307,3201.40499296919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3765.206624774821,4523.194073263495,8223.090731200851,6729.794881801665,1326.634260576972,4145.583395384553,312.68812505204244,12795.652514385229,1156.6901866255803,13796.37498027607,23501.082995253728,7255.885907887781,2033.9533678037208,7833.424831388707,161.1263879632155,3138.080413717387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3767.5735250147013,4539.028983938103,8224.909061259677,6753.354715645998,1326.6707976630641,4148.189409691554,312.88468839423024,12840.447853985243,1156.6963160915282,13529.806201109104,23583.35617300351,7260.447133819691,1994.654025265328,7682.070109805335,161.16201701852825,3077.447510798444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3770.371929428304,4565.355369563244,8226.567239502572,6792.524199061195,1326.7073347491557,4151.270520511414,313.1170867501317,12914.922501095833,1157.6126458808396,13594.002819863996,23720.139729826467,7265.839906427608,2004.1183178135373,7718.5202199367795,161.19450799784616,3092.049473432079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3780.0717065190756,4624.592957345769,8237.556319325951,6880.660327781731,1326.7438718352475,4161.950209265239,313.92262158903776,13082.49956650101,1159.4391885071677,13630.204756952771,24027.919463432132,7284.5322340782295,2009.4554481806085,7739.075268153504,161.40983223502894,3100.2838531064012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3784.922058479669,4659.853512236147,8246.763781528181,6933.122437076002,1326.7804089213394,4167.290563873483,314.32542749361176,13182.248062924944,1160.870923695116,14104.786215394279,24211.1221325008,7293.879290945598,2079.421403518464,8008.537223659006,161.59024677445802,3208.230671134895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3783.480294761138,4643.897385454439,8243.927490287151,6909.382252903131,1326.8169460074312,4165.703147211597,314.2056937209818,13137.109815379688,1160.582210419327,14451.91843154638,24128.21915427216,7291.100884847256,2130.5979438143854,8205.634948653318,161.53467139801896,3287.18828210405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3776.724986574474,4619.618557900619,8238.448207654144,6873.2592109196685,1326.853483093523,4158.265389808041,313.6446874173336,13068.427500227283,1160.8439612627024,14446.95683288007,24002.074060312454,7278.082808985886,2129.8664719363405,8202.817809350305,161.4273082363873,3286.0597323496595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3763.886458417001,4548.418125316464,8221.896641900117,6767.324267818457,1326.8900201796148,4144.129860352475,312.57848954347105,12867.00877278289,1160.0503043272115,14457.902947376244,23632.139176167435,7253.341830649431,2131.480220944735,8209.032888689922,161.10299052030481,3288.549501405361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3733.321180551749,4372.987178454474,8182.319311869141,6506.3108624286615,1326.9265572657068,4110.476751500558,310.0401429453074,12370.732601573634,1157.1098563406451,14209.094212236874,22720.65557069725,7194.439839063134,2094.7991822299127,8067.762118151026,160.32749716366175,3231.956242696541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3681.1588287555064,4092.225942051748,8116.178520125037,6088.5827037100335,1326.9630943517986,4053.0447428432267,305.70822982421873,11576.48783508135,1152.1816527806993,13158.877637334213,21261.909160156898,7093.91837741738,1939.9692691186494,7471.4610892256815,159.0315091685009,2993.0772568343104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3644.8288734637777,3873.9402456943126,8067.524537333704,5763.808232767008,1326.9996314378902,4013.044584971024,302.69114557480526,10958.979969133181,1147.284445260874,11009.009113961303,20127.765857065864,7023.9073429894315,1623.0213512995845,6250.79018840668,158.07816440271267,2504.074869257204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3631.6292702800256,3818.9783928408533,8044.780510965471,5682.0337189972115,1327.036168523982,3998.5115031942705,301.5949615981277,10803.49851968208,1146.7241548325617,9422.084688662031,19842.20148716251,6998.470541168117,1389.066396907438,5349.752545080185,157.63250924259768,2143.1179900624265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3645.311569600794,3831.7800208160365,8102.995124282974,5701.080509612578,1327.0727056100739,4013.5760450713715,302.7312319140411,10839.713013364128,1147.651930160421,9662.124558350875,19908.71468925956,7024.837541102684,1424.454671150403,5486.044453529477,158.77318866316327,2197.7167099913017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
