,UK_L,UK_K,UK_J,UK_I,UK_H,UK_G,UK_F,NO_D,NO_C,NO_B,NO_A,NL_G,NL_F,DK_C,DE_I,DE_H,DE_G
55,0.26249473828119796,0.4891074742641646,0.7063018820513763,0.04092287489434685,0.037338964987627996,0.059060208153857645,0.08542076268905162,0.16089866742883824,0.8046688774947727,0.0,0.0,0.22097624756725068,0.2645275589705621,0.0,0.0,0.029921629324901968,0.07769321672964272
56,0.4198292666657266,0.5342705423459856,0.891453678794251,0.16561350931576518,0.031317152004381954,0.04378413314069877,0.05061336528623599,0.1734518582461609,0.869750139497506,0.0,0.0,0.13407949470487288,0.222623747824372,0.0,0.0,0.012980712806907694,0.036116162835990374
57,0.6263484173732727,0.5881045130482317,0.9780409700315037,0.3765616867373166,0.03413006359590711,0.027889030663797856,0.021632595798801328,0.2618640700981678,0.7607322416385929,0.0,0.0,0.07700004178581785,0.16725264101269952,0.0,0.007718318398710755,0.011771680135838262,0.014779268449227462
58,0.9070278467279882,0.6323935617195912,0.9903584863921673,0.2833625209203703,0.053045835987088556,0.025844323719924317,0.007993823961369799,0.4663683937545209,0.9236240540315329,0.0,0.0,0.025462941615753854,0.12957713210085545,0.0051567190518541405,0.028099805137906258,0.018581257150517,0.004812398595806748
59,0.9919643638887219,0.6921823824502353,1.0,0.30145969720619475,0.11308325997673778,0.03630056000272625,0.0,0.5006204739551451,0.962281853435732,0.0,0.0,0.020669178625129198,0.13968623018579077,0.03067188977074307,0.04010668064732267,0.028260493643442276,0.011856150428539883
60,1.0,0.7399473806184941,1.0,0.4269051665388979,0.13984810847508494,0.04058332098417857,0.0,0.4591994204707035,0.9819149894843032,0.012227461735448697,0.0,0.013536563585849119,0.16141786904283967,0.06173909534310694,0.04920990141880653,0.03244707826997699,0.014115378794395485
61,1.0,0.7553258827622816,1.0,0.5249350939557972,0.1469831429156595,0.043519239162381075,0.0,0.32622690511265423,0.9713467868716876,0.0443449976449927,0.002562097263604038,0.010247329653832413,0.14774735799256722,0.07351327817414376,0.06236594544000218,0.04279406482150932,0.021517184923083833
62,1.0,0.8312286789809173,1.0,0.6150406516678059,0.1540366577663031,0.03979145750193909,0.0,0.23733006834524195,0.9237579754374754,0.10817302014602022,0.0,0.012611720400143758,0.11817744803926132,0.04727694815165292,0.08779926638278991,0.05196185349296241,0.023427526386440585
63,1.0,0.8924354738417849,1.0,0.6873182788397006,0.178262242390607,0.032333545971940915,0.0,0.19934418645308988,0.9399622460762939,0.18900755170552314,0.0,0.020214757980652732,0.12402903223971833,0.021085783565838602,0.10843377085128023,0.053774280527807194,0.017400560876447712
64,1.0,0.9192524729844289,1.0,0.778857182655402,0.21221644040346277,0.02723103720651904,0.0,0.1934415636020389,0.9320667454689464,0.26839826224935104,0.0,0.02565614744367474,0.15345672372119154,0.014360184087187308,0.12660795124907925,0.05858105735835207,0.014178484961003613
65,1.0,0.9269152189164168,1.0,0.922541137324957,0.263819842815373,0.03497440629386431,0.014312688428450425,0.21356856998648446,0.9808074006384259,0.3642036430529873,0.02381084962383813,0.03732384139442143,0.19876567419449662,0.02088516507928902,0.17198159179552158,0.07790699403886804,0.022061442394122985
66,1.0,0.9447596578797175,1.0,1.0,0.3514055141107089,0.07905943309741609,0.04794743655015562,0.2511082814236229,1.0,0.4653006683726676,0.06741878327662801,0.05067175965569949,0.2286520742828633,0.026178469102424565,0.22919075296798597,0.10950473840160238,0.039610849215713013
67,1.0,0.9524738769677068,1.0,1.0,0.5235692556648736,0.19770885143482803,0.10932665583188272,0.2892638137346175,1.0,0.6432851479965833,0.13810658650916405,0.06351400288904284,0.26304472220452785,0.02743308238517115,0.30614031080717413,0.15776211572834137,0.06072767260627071
68,1.0,0.9609401133167123,1.0,1.0,0.6772729025182326,0.35997609162826816,0.22630962198796323,0.3412308462345878,1.0,0.8432137255682269,0.20799006396949796,0.07670137109342494,0.3076330574117592,0.027192552836655157,0.38192272795406995,0.19112978316612714,0.06869935856812326
69,1.0,0.9766848607748267,1.0,1.0,0.7719993538026316,0.42657457040959623,0.38239156251552625,0.38835697133409747,1.0,0.9728928413293801,0.2899018537098422,0.09963041322978594,0.39227846732668437,0.033738645298705586,0.464037578711822,0.2162719860080772,0.07542957287072985
70,1.0,0.9909305692340167,1.0,1.0,0.8752756058703055,0.535034376620707,0.5051043859114119,0.5056719797188525,1.0,1.0,0.40365136540468716,0.1291968188638127,0.46487650480720205,0.04712420729930489,0.581758054132109,0.2699292917252509,0.09000204878091375
71,1.0,0.9998510631985722,1.0,1.0,0.900830638771958,0.5479895006370569,0.5414608163293626,0.5231067022162368,1.0,1.0,0.48213621295613157,0.13596325156966052,0.49608213126732803,0.04981835458725073,0.6305399535302525,0.30073009465346295,0.09017101448404823
72,1.0,1.0,1.0,1.0,0.8828081665897662,0.5009988576679355,0.597332172624271,0.4905857413558423,1.0,1.0,0.5716847321914782,0.14698567593074122,0.5254635167924083,0.05912565386739679,0.7158617786946003,0.3772768996267334,0.09316731147126357
73,1.0,1.0,1.0,1.0,0.8919246975824543,0.5518905595920377,0.6368395451388732,0.3925744472648087,1.0,1.0,0.6733103395970365,0.15444292162685355,0.5542442754915092,0.09078829916424103,0.7988665458864939,0.4601842774812332,0.09881319117362466
74,1.0,1.0,1.0,1.0,0.9589422756288236,0.6502550553068469,0.6968471341709642,0.28086695804101125,1.0,1.0,0.7918402122206223,0.19366911605148293,0.6434179530944022,0.14864902997282195,0.8871349409045545,0.5697893803563185,0.13657580698658459
75,1.0,1.0,1.0,1.0,0.9829924158246689,0.7857569452435009,0.6955772430548732,0.17443243215616594,1.0,1.0,0.9176333712987733,0.21253439525576104,0.6925936650398754,0.2295533992040916,0.9615673818171975,0.6593664497270769,0.1880310226021147
76,1.0,1.0,1.0,1.0,1.0,0.909546813109346,0.7285282138379089,0.10206581256810984,1.0,1.0,0.967561796581695,0.22032843785158873,0.701214631669346,0.3267226977068514,0.986873538601506,0.7420467075263252,0.24300775703943978
